VNIR,SWIR
00416-VNIR-mock-up,00611-SWIR-mock-up
00417-VNIR-mock-up,00612-SWIR-mock-up
00418-VNIR-mock-up,00613-SWIR-mock-up
00419-VNIR-mock-up,00614-SWIR-mock-up
00420-VNIR-mock-up,00615-SWIR-mock-up
00421-VNIR-mock-up,00616-SWIR-mock-up
00422-VNIR-mock-up,00617-SWIR-mock-up
00423-VNIR-mock-up,00618-SWIR-mock-up
00424-VNIR-mock-up,00619-SWIR-mock-up
00425-VNIR-mock-up,00620-SWIR-mock-up
00426-VNIR-mock-up,00621-SWIR-mock-up
00427-VNIR-mock-up,00622-SWIR-mock-up
00428-VNIR-mock-up,00623-SWIR-mock-up
00429-VNIR-mock-up,00624-SWIR-mock-up
00430-VNIR-mock-up,00625-SWIR-mock-up
00431-VNIR-mock-up,00626-SWIR-mock-up
00432-VNIR-mock-up,00627-SWIR-mock-up
00433-VNIR-mock-up,00628-SWIR-mock-up
00434-VNIR-mock-up,00629-SWIR-mock-up
00435-VNIR-mock-up,00630-SWIR-mock-up
00436-VNIR-mock-up,00631-SWIR-mock-up
00437-VNIR-mock-up,00632-SWIR-mock-up
00438-VNIR-mock-up,00633-SWIR-mock-up
00439-VNIR-mock-up,00634-SWIR-mock-up
00440-VNIR-mock-up,00635-SWIR-mock-up
00441-VNIR-mock-up,00636-SWIR-mock-up
00442-VNIR-mock-up,00637-SWIR-mock-up
00443-VNIR-mock-up,00638-SWIR-mock-up
00444-VNIR-mock-up,00639-SWIR-mock-up
00445-VNIR-mock-up,00640-SWIR-mock-up
00446-VNIR-mock-up,00641-SWIR-mock-up
00447-VNIR-mock-up,00642-SWIR-mock-up
00448-VNIR-mock-up,00643-SWIR-mock-up
00449-VNIR-mock-up,00644-SWIR-mock-up
00450-VNIR-mock-up,00645-SWIR-mock-up
00451-VNIR-mock-up,00646-SWIR-mock-up
00452-VNIR-mock-up,00647-SWIR-mock-up
00453-VNIR-mock-up,00648-SWIR-mock-up
00454-VNIR-mock-up,00649-SWIR-mock-up
00455-VNIR-mock-up,00650-SWIR-mock-up
00456-VNIR-mock-up,00651-SWIR-mock-up
00457-VNIR-mock-up,00652-SWIR-mock-up
00458-VNIR-mock-up,00653-SWIR-mock-up
00459-VNIR-mock-up,00654-SWIR-mock-up
00460-VNIR-mock-up,00655-SWIR-mock-up
00461-VNIR-mock-up,00656-SWIR-mock-up
00462-VNIR-mock-up,00657-SWIR-mock-up
00463-VNIR-mock-up,00658-SWIR-mock-up
00464-VNIR-mock-up,00659-SWIR-mock-up
00465-VNIR-mock-up,00660-SWIR-mock-up
00466-VNIR-mock-up,00661-SWIR-mock-up
00467-VNIR-mock-up,00662-SWIR-mock-up
00468-VNIR-mock-up,00663-SWIR-mock-up
00469-VNIR-mock-up,00664-SWIR-mock-up
00470-VNIR-mock-up,00665-SWIR-mock-up
00471-VNIR-mock-up,00666-SWIR-mock-up
00472-VNIR-mock-up,00667-SWIR-mock-up
00473-VNIR-mock-up,00668-SWIR-mock-up
00674-VNIR-mock-up,00730-SWIR-mock-up
00675-VNIR-mock-up,00731-SWIR-mock-up
00676-VNIR-mock-up,00732-SWIR-mock-up
00677-VNIR-mock-up,00733-SWIR-mock-up
00678-VNIR-mock-up,00734-SWIR-mock-up
00679-VNIR-mock-up,00735-SWIR-mock-up
00680-VNIR-mock-up,00736-SWIR-mock-up
00681-VNIR-mock-up,00737-SWIR-mock-up
00682-VNIR-mock-up,00738-SWIR-mock-up
00683-VNIR-mock-up,00739-SWIR-mock-up
00684-VNIR-mock-up,00740-SWIR-mock-up
00685-VNIR-mock-up,00741-SWIR-mock-up
00686-VNIR-mock-up,00742-SWIR-mock-up
00687-VNIR-mock-up,00743-SWIR-mock-up
00688-VNIR-mock-up,00744-SWIR-mock-up
00689-VNIR-mock-up,00745-SWIR-mock-up
00690-VNIR-mock-up,00746-SWIR-mock-up
00691-VNIR-mock-up,00747-SWIR-mock-up
00692-VNIR-mock-up,00748-SWIR-mock-up
00693-VNIR-mock-up,00749-SWIR-mock-up
00694-VNIR-mock-up,00750-SWIR-mock-up
00695-VNIR-mock-up,00751-SWIR-mock-up
00696-VNIR-mock-up,00752-SWIR-mock-up
00697-VNIR-mock-up,00753-SWIR-mock-up
00698-VNIR-mock-up,00754-SWIR-mock-up
00699-VNIR-mock-up,00755-SWIR-mock-up
00700-VNIR-mock-up,00756-SWIR-mock-up
00701-VNIR-mock-up,00757-SWIR-mock-up
00702-VNIR-mock-up,00758-SWIR-mock-up
00703-VNIR-mock-up,00759-SWIR-mock-up
00704-VNIR-mock-up,00760-SWIR-mock-up
00705-VNIR-mock-up,00761-SWIR-mock-up
00706-VNIR-mock-up,00762-SWIR-mock-up
00707-VNIR-mock-up,00763-SWIR-mock-up
00708-VNIR-mock-up,00764-SWIR-mock-up
00709-VNIR-mock-up,00765-SWIR-mock-up
00710-VNIR-mock-up,00766-SWIR-mock-up
00711-VNIR-mock-up,00767-SWIR-mock-up
00712-VNIR-mock-up,00768-SWIR-mock-up
00713-VNIR-mock-up,00769-SWIR-mock-up
00714-VNIR-mock-up,00770-SWIR-mock-up
00715-VNIR-mock-up,00771-SWIR-mock-up
00716-VNIR-mock-up,00772-SWIR-mock-up
00717-VNIR-mock-up,00773-SWIR-mock-up
00718-VNIR-mock-up,00774-SWIR-mock-up
00719-VNIR-mock-up,00775-SWIR-mock-up
00720-VNIR-mock-up,00776-SWIR-mock-up
00721-VNIR-mock-up,00777-SWIR-mock-up
00722-VNIR-mock-up,00778-SWIR-mock-up
00723-VNIR-mock-up,00779-SWIR-mock-up
00724-VNIR-mock-up,00780-SWIR-mock-up
00725-VNIR-mock-up,00781-SWIR-mock-up
00726-VNIR-mock-up,00782-SWIR-mock-up
00727-VNIR-mock-up,00783-SWIR-mock-up
00728-VNIR-mock-up,00784-SWIR-mock-up
00729-VNIR-mock-up,00785-SWIR-mock-up
00786-VNIR-mock-up,00815-SWIR-mock-up
00787-VNIR-mock-up,00816-SWIR-mock-up
00788-VNIR-mock-up,00817-SWIR-mock-up
00789-VNIR-mock-up,00818-SWIR-mock-up
00790-VNIR-mock-up,00819-SWIR-mock-up
00791-VNIR-mock-up,00820-SWIR-mock-up
00792-VNIR-mock-up,00821-SWIR-mock-up
00793-VNIR-mock-up,00822-SWIR-mock-up
00794-VNIR-mock-up,00823-SWIR-mock-up
00795-VNIR-mock-up,00824-SWIR-mock-up
00796-VNIR-mock-up,00825-SWIR-mock-up
00797-VNIR-mock-up,00826-SWIR-mock-up
00798-VNIR-mock-up,00827-SWIR-mock-up
00799-VNIR-mock-up,00828-SWIR-mock-up
00800-VNIR-mock-up,00829-SWIR-mock-up
00801-VNIR-mock-up,00830-SWIR-mock-up
00802-VNIR-mock-up,00831-SWIR-mock-up
00803-VNIR-mock-up,00832-SWIR-mock-up
00805-VNIR-mock-up,00834-SWIR-mock-up
00806-VNIR-mock-up,00835-SWIR-mock-up
00807-VNIR-mock-up,00836-SWIR-mock-up
00808-VNIR-mock-up,00837-SWIR-mock-up
00809-VNIR-mock-up,00838-SWIR-mock-up
00810-VNIR-mock-up,00839-SWIR-mock-up
00811-VNIR-mock-up,00840-SWIR-mock-up
00812-VNIR-mock-up,00841-SWIR-mock-up
00813-VNIR-mock-up,00842-SWIR-mock-up
00814-VNIR-mock-up,00843-SWIR-mock-up
00844-VNIR-mock-up,01006-SWIR-mock-up
00845-VNIR-mock-up,01007-SWIR-mock-up
00846-VNIR-mock-up,01008-SWIR-mock-up
00847-VNIR-mock-up,01009-SWIR-mock-up
00848-VNIR-mock-up,01010-SWIR-mock-up
00849-VNIR-mock-up,01011-SWIR-mock-up
00850-VNIR-mock-up,01012-SWIR-mock-up
00851-VNIR-mock-up,01013-SWIR-mock-up
00852-VNIR-mock-up,01014-SWIR-mock-up
00853-VNIR-mock-up,01015-SWIR-mock-up
00854-VNIR-mock-up,01016-SWIR-mock-up
00855-VNIR-mock-up,01017-SWIR-mock-up
00856-VNIR-mock-up,01018-SWIR-mock-up
00857-VNIR-mock-up,01019-SWIR-mock-up
00858-VNIR-mock-up,01020-SWIR-mock-up
00859-VNIR-mock-up,01021-SWIR-mock-up
00860-VNIR-mock-up,01022-SWIR-mock-up
00861-VNIR-mock-up,01023-SWIR-mock-up
00862-VNIR-mock-up,01024-SWIR-mock-up
00863-VNIR-mock-up,01025-SWIR-mock-up
00864-VNIR-mock-up,01026-SWIR-mock-up
00865-VNIR-mock-up,01027-SWIR-mock-up
00866-VNIR-mock-up,01028-SWIR-mock-up
00867-VNIR-mock-up,01029-SWIR-mock-up
00868-VNIR-mock-up,01030-SWIR-mock-up
00869-VNIR-mock-up,01031-SWIR-mock-up
00870-VNIR-mock-up,01032-SWIR-mock-up
00871-VNIR-mock-up,01033-SWIR-mock-up
00872-VNIR-mock-up,01034-SWIR-mock-up
00873-VNIR-mock-up,01035-SWIR-mock-up
00874-VNIR-mock-up,01036-SWIR-mock-up
00875-VNIR-mock-up,01037-SWIR-mock-up
00876-VNIR-mock-up,01038-SWIR-mock-up
00877-VNIR-mock-up,01039-SWIR-mock-up
00878-VNIR-mock-up,01040-SWIR-mock-up
00879-VNIR-mock-up,01041-SWIR-mock-up
00880-VNIR-mock-up,01042-SWIR-mock-up
00881-VNIR-mock-up,01043-SWIR-mock-up
00882-VNIR-mock-up,01044-SWIR-mock-up
00883-VNIR-mock-up,01045-SWIR-mock-up
00884-VNIR-mock-up,01046-SWIR-mock-up
00885-VNIR-mock-up,01047-SWIR-mock-up
00886-VNIR-mock-up,01048-SWIR-mock-up
00887-VNIR-mock-up,01049-SWIR-mock-up
00888-VNIR-mock-up,01050-SWIR-mock-up
00889-VNIR-mock-up,01051-SWIR-mock-up
00890-VNIR-mock-up,01052-SWIR-mock-up
00891-VNIR-mock-up,01053-SWIR-mock-up
00892-VNIR-mock-up,01054-SWIR-mock-up
00893-VNIR-mock-up,01055-SWIR-mock-up
00894-VNIR-mock-up,01056-SWIR-mock-up
00895-VNIR-mock-up,01057-SWIR-mock-up
00896-VNIR-mock-up,01058-SWIR-mock-up
00897-VNIR-mock-up,01059-SWIR-mock-up
00898-VNIR-mock-up,01060-SWIR-mock-up
00899-VNIR-mock-up,01061-SWIR-mock-up
00900-VNIR-mock-up,01062-SWIR-mock-up
00901-VNIR-mock-up,01063-SWIR-mock-up
00902-VNIR-mock-up,01064-SWIR-mock-up
00903-VNIR-mock-up,01065-SWIR-mock-up
00904-VNIR-mock-up,01066-SWIR-mock-up
00905-VNIR-mock-up,01067-SWIR-mock-up
00906-VNIR-mock-up,01068-SWIR-mock-up
00907-VNIR-mock-up,01069-SWIR-mock-up
00908-VNIR-mock-up,01070-SWIR-mock-up
00909-VNIR-mock-up,01071-SWIR-mock-up
00910-VNIR-mock-up,01072-SWIR-mock-up
00911-VNIR-mock-up,01073-SWIR-mock-up
00912-VNIR-mock-up,01074-SWIR-mock-up
00913-VNIR-mock-up,01075-SWIR-mock-up
00914-VNIR-mock-up,01076-SWIR-mock-up
00915-VNIR-mock-up,01077-SWIR-mock-up
00916-VNIR-mock-up,01078-SWIR-mock-up
00917-VNIR-mock-up,01079-SWIR-mock-up
00918-VNIR-mock-up,01080-SWIR-mock-up
00919-VNIR-mock-up,01081-SWIR-mock-up
00920-VNIR-mock-up,01082-SWIR-mock-up
00921-VNIR-mock-up,01083-SWIR-mock-up
00922-VNIR-mock-up,01084-SWIR-mock-up
00923-VNIR-mock-up,01085-SWIR-mock-up
00924-VNIR-mock-up,01086-SWIR-mock-up
00925-VNIR-mock-up,01087-SWIR-mock-up
00926-VNIR-mock-up,01088-SWIR-mock-up
00927-VNIR-mock-up,01089-SWIR-mock-up
00928-VNIR-mock-up,01090-SWIR-mock-up
00929-VNIR-mock-up,01091-SWIR-mock-up
00930-VNIR-mock-up,01092-SWIR-mock-up
00931-VNIR-mock-up,01093-SWIR-mock-up
00932-VNIR-mock-up,01094-SWIR-mock-up
00933-VNIR-mock-up,01095-SWIR-mock-up
00934-VNIR-mock-up,01096-SWIR-mock-up
00935-VNIR-mock-up,01097-SWIR-mock-up
00936-VNIR-mock-up,01098-SWIR-mock-up
00937-VNIR-mock-up,01099-SWIR-mock-up
00938-VNIR-mock-up,01100-SWIR-mock-up
00939-VNIR-mock-up,01101-SWIR-mock-up
00940-VNIR-mock-up,01102-SWIR-mock-up
00941-VNIR-mock-up,01103-SWIR-mock-up
00942-VNIR-mock-up,01104-SWIR-mock-up
00943-VNIR-mock-up,01105-SWIR-mock-up
00944-VNIR-mock-up,01106-SWIR-mock-up
00945-VNIR-mock-up,01107-SWIR-mock-up
00946-VNIR-mock-up,01108-SWIR-mock-up
00947-VNIR-mock-up,01109-SWIR-mock-up
00948-VNIR-mock-up,01110-SWIR-mock-up
00949-VNIR-mock-up,01111-SWIR-mock-up
00950-VNIR-mock-up,01112-SWIR-mock-up
00951-VNIR-mock-up,01113-SWIR-mock-up
00952-VNIR-mock-up,01114-SWIR-mock-up
00953-VNIR-mock-up,01115-SWIR-mock-up
00954-VNIR-mock-up,01116-SWIR-mock-up
00955-VNIR-mock-up,01117-SWIR-mock-up
00956-VNIR-mock-up,01118-SWIR-mock-up
00957-VNIR-mock-up,01119-SWIR-mock-up
00958-VNIR-mock-up,01120-SWIR-mock-up
00959-VNIR-mock-up,01121-SWIR-mock-up
00960-VNIR-mock-up,01122-SWIR-mock-up
00961-VNIR-mock-up,01123-SWIR-mock-up
00962-VNIR-mock-up,01124-SWIR-mock-up
00963-VNIR-mock-up,01125-SWIR-mock-up
00964-VNIR-mock-up,01126-SWIR-mock-up
00965-VNIR-mock-up,01127-SWIR-mock-up
00966-VNIR-mock-up,01128-SWIR-mock-up
00967-VNIR-mock-up,01129-SWIR-mock-up
00968-VNIR-mock-up,01130-SWIR-mock-up
00969-VNIR-mock-up,01131-SWIR-mock-up
00970-VNIR-mock-up,01132-SWIR-mock-up
00971-VNIR-mock-up,01133-SWIR-mock-up
00972-VNIR-mock-up,01134-SWIR-mock-up
00973-VNIR-mock-up,01135-SWIR-mock-up
00974-VNIR-mock-up,01136-SWIR-mock-up
00975-VNIR-mock-up,01137-SWIR-mock-up
00976-VNIR-mock-up,01138-SWIR-mock-up
00977-VNIR-mock-up,01139-SWIR-mock-up
00978-VNIR-mock-up,01140-SWIR-mock-up
00979-VNIR-mock-up,01141-SWIR-mock-up
00980-VNIR-mock-up,01142-SWIR-mock-up
00981-VNIR-mock-up,01143-SWIR-mock-up
00982-VNIR-mock-up,01144-SWIR-mock-up
00983-VNIR-mock-up,01145-SWIR-mock-up
00984-VNIR-mock-up,01146-SWIR-mock-up
00985-VNIR-mock-up,01147-SWIR-mock-up
00986-VNIR-mock-up,01148-SWIR-mock-up
00987-VNIR-mock-up,01149-SWIR-mock-up
00988-VNIR-mock-up,01150-SWIR-mock-up
00989-VNIR-mock-up,01151-SWIR-mock-up
00990-VNIR-mock-up,01152-SWIR-mock-up
00991-VNIR-mock-up,01153-SWIR-mock-up
00992-VNIR-mock-up,01154-SWIR-mock-up
00993-VNIR-mock-up,01155-SWIR-mock-up
00994-VNIR-mock-up,01156-SWIR-mock-up
00995-VNIR-mock-up,01157-SWIR-mock-up
00996-VNIR-mock-up,01158-SWIR-mock-up
00997-VNIR-mock-up,01159-SWIR-mock-up
00998-VNIR-mock-up,01160-SWIR-mock-up
00999-VNIR-mock-up,01161-SWIR-mock-up
01000-VNIR-mock-up,01162-SWIR-mock-up
01001-VNIR-mock-up,01163-SWIR-mock-up
01002-VNIR-mock-up,01164-SWIR-mock-up
01003-VNIR-mock-up,01165-SWIR-mock-up
01004-VNIR-mock-up,01166-SWIR-mock-up
01005-VNIR-mock-up,01167-SWIR-mock-up
01288-VNIR-provincial,01330-SWIR-provincial
01289-VNIR-provincial,01331-SWIR-provincial
01290-VNIR-provincial,01332-SWIR-provincial
01291-VNIR-provincial,01333-SWIR-provincial
01292-VNIR-provincial,01334-SWIR-provincial
01293-VNIR-provincial,01335-SWIR-provincial
01294-VNIR-provincial,01336-SWIR-provincial
01295-VNIR-provincial,01337-SWIR-provincial
01296-VNIR-provincial,01338-SWIR-provincial
01297-VNIR-provincial,01339-SWIR-provincial
01298-VNIR-provincial,01340-SWIR-provincial
01299-VNIR-provincial,01341-SWIR-provincial
01300-VNIR-provincial,01342-SWIR-provincial
01301-VNIR-provincial,01343-SWIR-provincial
01302-VNIR-provincial,01344-SWIR-provincial
01303-VNIR-provincial,01345-SWIR-provincial
01304-VNIR-provincial,01346-SWIR-provincial
01305-VNIR-provincial,01347-SWIR-provincial
01306-VNIR-provincial,01348-SWIR-provincial
01307-VNIR-provincial,01349-SWIR-provincial
01308-VNIR-provincial,01350-SWIR-provincial
01309-VNIR-provincial,01351-SWIR-provincial
01310-VNIR-provincial,01352-SWIR-provincial
01311-VNIR-provincial,01353-SWIR-provincial
01312-VNIR-provincial,01354-SWIR-provincial
01313-VNIR-provincial,01355-SWIR-provincial
01314-VNIR-provincial,01356-SWIR-provincial
01315-VNIR-provincial,01357-SWIR-provincial
01316-VNIR-provincial,01358-SWIR-provincial
01317-VNIR-provincial,01359-SWIR-provincial
01318-VNIR-provincial,01360-SWIR-provincial
01319-VNIR-provincial,01361-SWIR-provincial
01320-VNIR-provincial,01362-SWIR-provincial
01321-VNIR-provincial,01363-SWIR-provincial
01322-VNIR-provincial,01364-SWIR-provincial
01323-VNIR-provincial,01365-SWIR-provincial
01324-VNIR-provincial,01366-SWIR-provincial
01325-VNIR-provincial,01367-SWIR-provincial
01326-VNIR-provincial,01368-SWIR-provincial
01327-VNIR-provincial,01369-SWIR-provincial
01328-VNIR-provincial,01370-SWIR-provincial
01329-VNIR-provincial,01371-SWIR-provincial
01372-VNIR-royal,01494-SWIR-royal
01373-VNIR-royal,01495-SWIR-royal
01374-VNIR-royal,01496-SWIR-royal
01375-VNIR-royal,01497-SWIR-royal
01376-VNIR-royal,01498-SWIR-royal
01377-VNIR-royal,01499-SWIR-royal
01378-VNIR-royal,01500-SWIR-royal
01379-VNIR-royal,01501-SWIR-royal
01380-VNIR-royal,01502-SWIR-royal
01381-VNIR-royal,01503-SWIR-royal
01382-VNIR-royal,01504-SWIR-royal
01383-VNIR-royal,01505-SWIR-royal
01384-VNIR-royal,01506-SWIR-royal
01385-VNIR-royal,01507-SWIR-royal
01386-VNIR-royal,01508-SWIR-royal
01387-VNIR-royal,01509-SWIR-royal
01388-VNIR-royal,01510-SWIR-royal
01389-VNIR-royal,01511-SWIR-royal
01390-VNIR-royal,01512-SWIR-royal
01391-VNIR-royal,01513-SWIR-royal
01392-VNIR-royal,01514-SWIR-royal
01393-VNIR-royal,01515-SWIR-royal
01394-VNIR-royal,01516-SWIR-royal
01395-VNIR-royal,01517-SWIR-royal
01396-VNIR-royal,01518-SWIR-royal
01397-VNIR-royal,01519-SWIR-royal
01398-VNIR-royal,01520-SWIR-royal
01399-VNIR-royal,01521-SWIR-royal
01400-VNIR-royal,01522-SWIR-royal
01401-VNIR-royal,01523-SWIR-royal
01402-VNIR-royal,01524-SWIR-royal
01403-VNIR-royal,01525-SWIR-royal
01404-VNIR-royal,01526-SWIR-royal
01405-VNIR-royal,01527-SWIR-royal
01406-VNIR-royal,01528-SWIR-royal
01407-VNIR-royal,01529-SWIR-royal
01408-VNIR-royal,01530-SWIR-royal
01409-VNIR-royal,01531-SWIR-royal
01410-VNIR-royal,01532-SWIR-royal
01411-VNIR-royal,01533-SWIR-royal
01412-VNIR-royal,01534-SWIR-royal
01413-VNIR-royal,01535-SWIR-royal
01414-VNIR-royal,01536-SWIR-royal
01415-VNIR-royal,01537-SWIR-royal
01416-VNIR-royal,01538-SWIR-royal
01417-VNIR-royal,01539-SWIR-royal
01418-VNIR-royal,01540-SWIR-royal
01419-VNIR-royal,01541-SWIR-royal
01420-VNIR-royal,01542-SWIR-royal
01421-VNIR-royal,01543-SWIR-royal
01422-VNIR-royal,01544-SWIR-royal
01423-VNIR-royal,01545-SWIR-royal
01424-VNIR-royal,01546-SWIR-royal
01425-VNIR-royal,01547-SWIR-royal
01426-VNIR-royal,01548-SWIR-royal
01427-VNIR-royal,01549-SWIR-royal
01428-VNIR-royal,01550-SWIR-royal
01429-VNIR-royal,01551-SWIR-royal
01430-VNIR-royal,01552-SWIR-royal
01431-VNIR-royal,01553-SWIR-royal
01432-VNIR-royal,01554-SWIR-royal
01433-VNIR-royal,01555-SWIR-royal
01434-VNIR-royal,01556-SWIR-royal
01435-VNIR-royal,01557-SWIR-royal
